Date,EEM,DBC,DGS,PCY
2/2/2009,20.79888,20.33,17.903854,13.004401
2/9/2009,19.998278,19.51,17.489723,12.871024
2/16/2009,17.946745,18.549999,16.410019,12.705007
2/23/2009,17.704899,19.110001,16.158579,12.619613
3/2/2009,17.596485,19.200001,15.818398,12.302453
3/9/2009,19.481224,19.129999,17.105167,12.778196
3/16/2009,19.931566,20.92,17.474928,13.149608
3/23/2009,21.349289,20.66,18.443705,13.075944
3/30/2009,22.808708,21.040001,19.886908,13.155745
4/6/2009,23.309082,20.860001,20.644354,13.444275
4/13/2009,23.44252,20.200001,20.852287,13.812612
4/20/2009,23.367464,20.1,21.438942,13.788889
4/27/2009,24.259794,20.58,22.716221,14.079116
5/4/2009,26.34469,21.799999,24.045477,14.431091
5/11/2009,25.085411,21.18,23.169209,14.3817
5/18/2009,26.478123,22.23,24.758377,14.523133
5/25/2009,27.720716,23.23,25.241068,14.572806
6/1/2009,28.029285,23.889999,25.627228,14.771502
6/8/2009,28.137697,23.85,25.278202,14.889475
6/15/2009,26.478123,23.200001,24.431637,14.529342
6/22/2009,26.953478,22.809999,24.409349,14.610989
6/29/2009,26.836515,22.030001,24.493147,14.810789
7/6/2009,25.995777,20.74,24.7257,14.76709
7/13/2009,28.223745,21.77,26.21104,14.817043
7/20/2009,29.7623,22.65,27.426325,15.076002
7/27/2009,30.081787,23.040001,28.086473,15.270725
8/3/2009,30.712339,23.290001,28.326527,15.635064
8/10/2009,30.031345,22.700001,28.123985,15.591096
8/17/2009,30.527382,22.940001,28.229008,15.79488
8/24/2009,30.283567,22.73,28.161499,15.978106
8/31/2009,30.603052,21.620001,29.03919,16.079184
9/7/2009,31.830528,21.940001,29.691847,16.338228
9/14/2009,32.814198,22.43,30.667068,16.477219
9/21/2009,32.023903,21.35,29.781874,16.572903
9/28/2009,31.830528,21.700001,29.812893,16.604683
10/5/2009,33.503609,22.700001,31.2971,16.795246
10/12/2009,34.260281,23.9,31.440985,16.788891
10/19/2009,34.268684,24.709999,31.312246,16.792469
10/26/2009,31.586708,23.59,29.517569,16.537075
11/2/2009,33.335464,23.76,30.373251,16.447685
11/9/2009,34.504097,23.809999,31.342527,16.543461
11/16/2009,34.176208,24.26,31.228949,16.545553
11/23/2009,33.739014,24.389999,30.865471,16.449291
11/30/2009,35.176693,24.450001,31.637857,16.539146
12/7/2009,34.764725,23.68,31.993778,16.474962
12/14/2009,33.932388,23.84,31.675724,16.301687
12/21/2009,34.638611,24.34,32.160358,16.452421
12/28/2009,35.17268,24.620001,32.923847,16.478231
1/4/2010,36.624107,25.379999,33.94865,16.56214
1/11/2010,35.564377,24.370001,33.73452,16.439505
1/18/2010,33.580574,23.52,32.120819,16.549231
1/25/2010,32.453033,22.690001,31.394281,16.40646
2/1/2010,31.53743,22.379999,30.392422,16.205263
2/8/2010,32.588673,23.02,31.287218,16.322073
2/15/2010,33.38559,23.950001,31.998459,16.411734
2/22/2010,33.029514,23.629999,31.631372,16.640139
3/1/2010,34.716606,23.940001,32.89325,16.888113
3/8/2010,35.072674,23.52,33.283302,17.070835
3/15/2010,34.920071,23.42,33.550968,17.162176
3/22/2010,34.843769,22.969999,33.459194,17.136429
3/29/2010,36.641064,23.98,34.736374,17.182362
4/5/2010,37.115818,24.26,35.172302,17.313568
4/12/2010,35.99675,24.25,34.828159,17.359482
4/19/2010,36.505424,24.469999,35.401745,17.402712
4/26/2010,35.649162,24.440001,34.629307,17.310379
5/3/2010,32.376736,22.780001,31.784332,16.670732
5/10/2010,33.478848,22.58,32.824429,17.046612
5/17/2010,31.656113,21.48,30.606562,16.923262
5/24/2010,32.300419,21.959999,31.378983,17.009436
5/31/2010,31.53743,21.25,30.468904,17.088984
6/7/2010,32.859962,21.950001,31.501354,17.082354
6/14/2010,33.843395,22.4,32.786186,17.20167
6/21/2010,33.427986,22.34,32.373203,17.284344
6/28/2010,32.215626,21.200001,31.149559,17.377645
7/5/2010,34.110153,21.98,33.278988,17.524221
7/12/2010,32.983681,21.969999,32.775352,17.570868
7/19/2010,35.117161,22.440001,34.425735,17.899563
7/26/2010,35.330513,22.889999,34.820896,18.100452
8/2/2010,35.910816,23.290001,35.812687,18.395094
8/9/2010,34.716064,22.41,34.882889,18.462063
8/16/2010,35.006218,22.200001,35.556988,18.857985
8/23/2010,34.553921,22.540001,35.471752,18.595606
8/30/2010,35.868145,22.92,36.564266,18.709969
9/6/2010,36.064423,23.200001,37.075649,18.481222
9/13/2010,36.712997,23.360001,37.672272,18.440866
9/20/2010,37.651733,23.82,38.454849,18.65258
9/27/2010,38.769684,24.16,39.816792,18.821543
10/4/2010,39.452393,25.139999,40.450298,19.024275
10/11/2010,39.87056,24.940001,41.201107,19.145926
10/18/2010,39.281719,24.93,40.997768,19.10013
10/25/2010,39.358521,25.18,41.029057,19.201944
11/1/2010,41.381069,26.41,42.311703,19.371635
11/8/2010,39.60601,25.26,40.825718,18.923653
11/15/2010,39.691341,24.66,41.240223,18.638578
11/22/2010,38.232044,25.26,39.887173,18.595768
11/29/2010,40.228985,26.360001,41.607807,18.609398
12/6/2010,39.759617,26.24,41.592159,18.411728
12/13/2010,39.597477,26.469999,41.380997,18.057262
12/20/2010,39.77668,27.120001,41.631271,18.239162
12/27/2010,40.974144,27.549999,42.856827,18.26655
1/3/2011,40.660576,27.120001,42.848961,18.293941
1/10/2011,41.245743,28.02,43.194962,18.225462
1/17/2011,39.997952,27.959999,41.976105,18.165129
1/24/2011,39.008335,28.09,40.48201,18.103186
1/31/2011,40.015167,28.67,40.953846,18.103186
2/7/2011,39.266499,28.65,40.41124,17.958628
2/14/2011,39.851658,28.690001,40.945969,17.958628
2/21/2011,39.171833,29.67,39.208111,18.063093
2/28/2011,40.359379,30.43,40.175331,18.187622
3/7/2011,39.610714,29.49,39.970879,18.305229
3/14/2011,38.922276,29.719999,39.192375,18.215288
3/21/2011,40.738026,30.32,40.749378,18.353819
3/28/2011,42.553764,30.719999,42.829105,18.437254
4/4/2011,43.061485,31.92,43.451641,18.485918
4/11/2011,42.278385,31.17,43.262524,18.402485
4/18/2011,43.181969,31.709999,44.058418,18.518873
4/25/2011,43.027058,31.9,44.539112,18.658592
5/2/2011,41.521122,28.6,43.294037,18.80529
5/9/2011,40.376598,29.040001,42.624214,18.833239
5/16/2011,40.505672,29.35,42.324768,19.00532
5/23/2011,41.090843,30.08,42.301125,18.921101
5/30/2011,41.194111,30.25,42.844868,19.047441
6/6/2011,39.989346,30.280001,41.694347,19.082527
6/13/2011,39.40419,29.23,41.079693,18.878998
6/20/2011,39.154625,28.26,39.834606,19.030418
6/27/2011,41.85812,29,42.320633,19.164389
7/4/2011,41.658215,29.969999,42.416447,19.164389
7/11/2011,40.554398,30.51,41.729725,19.100931
7/18/2011,41.414856,30.75,42.648026,19.243614
7/25/2011,40.945503,30.280001,42.280704,19.491508
8/1/2011,37.008282,28.82,38.12051,19.555254
8/8/2011,35.869694,28.709999,37.314026,19.264862
8/15/2011,34.487751,29.1,36.451633,19.63316
8/22/2011,35.217842,29.610001,36.515514,19.664703
8/29/2011,36.121746,29.790001,37.353943,19.835453
9/5/2011,34.774563,29.290001,35.980518,19.828339
9/12/2011,35.226528,28.98,36.076351,19.550871
9/19/2011,31.184999,26.549999,32.347332,18.942078
9/26/2011,30.507053,25.75,30.870108,18.684843
10/3/2011,31.671717,26.35,32.210888,18.820597
10/10/2011,34.409527,27.870001,34.728638,19.206451
10/17/2011,33.775055,27.18,34.216969,19.320316
10/24/2011,36.851837,28.15,36.369225,19.693377
10/31/2011,35.800159,27.99,35.52457,19.865562
11/7/2011,35.452507,28.15,35.280907,19.901426
11/14/2011,33.496925,27.290001,34.160118,19.528364
11/21/2011,31.376209,26.639999,32.283985,19.238909
11/28/2011,34.565975,27.780001,34.614925,19.613457
12/5/2011,34.218319,27.290001,34.273815,19.606247
12/12/2011,32.610394,26.17,33.153015,19.527023
12/19/2011,33.453465,27,33.591591,19.728495
12/26/2011,33.291492,26.84,33.757477,19.80814
1/2/2012,33.537193,27.59,34.165779,19.634375
1/9/2012,34.476093,27.290001,34.827198,19.388227
1/16/2012,36.310032,27.41,36.411373,19.687233
1/23/2012,37.169945,28.190001,36.982986,19.759966
1/30/2012,38.503719,28.32,38.910118,20.101782
2/6/2012,37.661339,28.450001,38.550816,20.101782
2/13/2012,38.547585,28.690001,39.040764,20.079967
2/20/2012,38.77573,29.68,39.269413,20.394211
2/27/2012,39.170597,29.48,39.841019,20.627956
3/5/2012,38.42474,29.309999,39.514385,20.679098
3/12/2012,38.687981,29.58,39.775684,20.576828
3/19/2012,37.643795,29.15,39.424561,20.571564
3/26/2012,37.68766,28.799999,39.293907,20.556887
4/2/2012,37.503399,28.700001,38.687759,20.505529
4/9/2012,36.994453,28.34,38.655064,20.564228
4/16/2012,37.143627,28.040001,38.663231,20.817835
4/23/2012,37.12608,28.299999,38.843143,20.928377
4/30/2012,36.292473,27.24,38.589634,21.134714
5/7/2012,35.072777,26.68,37.510197,20.987328
5/14/2012,32.721142,26.27,35.130547,20.383062
5/21/2012,32.598293,26.049999,34.738026,20.450058
5/28/2012,32.194649,24.719999,34.32098,20.368633
6/4/2012,33.282722,25.139999,35.171436,20.864532
6/11/2012,34.212849,24.860001,35.367699,21.04957
6/18/2012,33.159882,24.389999,35.179611,21.207899
6/25/2012,34.746647,25.75,35.433113,21.430904
7/2/2012,34.426975,25.91,36.061096,21.616743
7/9/2012,34.178341,26.700001,35.846096,21.914089
7/16/2012,34.267143,27.629999,35.680717,22.184523
7/23/2012,35.101833,27.42,36.259548,22.251701
7/30/2012,35.457031,27.52,36.71434,22.527891
8/6/2012,36.167419,28.049999,37.326244,22.445782
8/13/2012,35.936543,28.25,37.276638,22.236769
8/20/2012,35.563591,28.52,37.276638,22.557301
8/27/2012,34.879845,28.790001,36.987213,22.624737
9/3/2012,36.087502,28.969999,37.888535,22.917013
9/10/2012,37.623707,29.73,39.095814,22.894526
9/17/2012,37.099796,28.629999,38.980038,23.042355
9/24/2012,36.700203,28.68,37.921616,23.087494
10/1/2012,37.250759,28.540001,39.192513,23.305653
10/8/2012,36.646927,28.549999,38.587868,23.53886
10/15/2012,36.851162,28,38.705444,23.561428
10/22/2012,36.593651,27.58,38.251957,23.462584
10/29/2012,36.939957,27.139999,38.478695,23.455036
11/5/2012,36.407169,27.6,38.697052,23.621172
11/12/2012,35.883263,27.51,38.084003,23.387072
11/19/2012,36.966602,28.059999,38.680256,23.605316
11/26/2012,37.108673,28.1,39.049747,23.81756
12/3/2012,37.996658,27.610001,39.82235,23.802402
12/10/2012,38.520569,27.549999,40.242241,23.658371
12/17/2012,38.42289,27.52,40.343006,23.814714
12/24/2012,39.039906,27.629999,40.888866,23.890802
12/31/2012,40.205338,27.530001,42.155712,23.9821
1/7/2013,39.740635,27.59,42.23159,23.746239
1/14/2013,40.017673,27.98,42.459225,23.715797
1/21/2013,39.463608,28.01,42.172562,23.743803
1/28/2013,39.776382,28.58,42.551971,23.239758
2/4/2013,39.186584,28.549999,42.52668,23.369593
2/11/2013,39.311691,28.35,42.855499,23.125196
2/18/2013,38.6772,27.6,42.577263,23.113321
2/25/2013,38.70401,26.940001,43.150581,23.159328
3/4/2013,39.436802,27.200001,44.078003,23.105659
3/11/2013,38.221432,27.4,43.395088,22.906336
3/18/2013,37.497581,27.16,42.619423,22.882206
3/25/2013,38.221432,27.309999,43.555511,22.912983
4/1/2013,37.184803,26.67,42.88855,23.513115
4/8/2013,37.426086,26.42,43.192471,23.72086
4/15/2013,37.211609,25.73,43.36977,23.559288
4/22/2013,37.747807,26.120001,43.67371,23.768726
4/29/2013,38.891674,26.42,44.374458,24.031189
5/6/2013,38.936356,26.35,44.619278,23.8382
5/13/2013,38.802307,26.18,44.526413,23.47538
5/20/2013,37.774612,26.1,43.867897,23.0823
5/27/2013,36.818405,25.860001,42.821007,22.392941
6/3/2013,36.362644,26.32,42.069607,22.11408
6/10/2013,35.12941,26.299999,40.617485,22.238014
6/17/2013,33.431465,25.43,38.768536,20.623354
6/24/2013,34.405544,25.129999,38.86985,21.229702
7/1/2013,33.806927,25.559999,38.575195,20.879885
7/8/2013,35.255539,26.16,39.623573,21.183058
7/15/2013,35.563366,26.23,40.233704,21.719433
7/22/2013,36.061325,25.85,40.646168,21.584951
7/29/2013,35.952679,25.889999,40.147762,21.389856
8/5/2013,35.635803,25.690001,40.268063,21.366446
8/12/2013,35.581474,26.459999,39.597801,20.952854
8/19/2013,34.992977,26.57,38.386135,20.790583
8/26/2013,34.422588,26.66,37.509636,20.633902
9/2/2013,36.197132,26.66,39.193913,20.696573
9/9/2013,37.26548,26.34,40.345421,20.727905
9/16/2013,38.098434,25.959999,41.428158,21.557327
9/23/2013,37.328857,25.870001,40.259468,21.518005
9/30/2013,38.125603,25.879999,41.778782,21.494415
10/7/2013,38.77747,26.15,42.099812,21.730352
10/14/2013,39.212055,26.26,42.707188,21.950565
10/21/2013,38.705036,25.860001,42.767921,22.089273
10/28/2013,38.46059,25.43,41.752739,21.939318
11/4/2013,37.26548,25.23,40.780949,21.457916
11/11/2013,38.252354,25.35,41.188755,21.402683
11/18/2013,38.071274,25.559999,40.780949,21.421581
11/25/2013,38.342888,25.51,41.162716,21.342356
12/2/2013,37.971684,25.74,40.937126,21.215601
12/9/2013,37.075352,25.389999,40.008709,21.2869
12/16/2013,36.649822,25.66,39.340588,21.521889
12/23/2013,37.729992,25.85,39.410007,21.458256
12/30/2013,36.651985,25.129999,39.464836,21.474169
1/6/2014,36.789028,24.860001,39.778957,21.649143
1/13/2014,36.350521,24.91,39.333961,21.736628
1/20/2014,34.934509,25.08,38.042599,21.453583
1/27/2014,34.888828,24.879999,37.632515,21.341806
2/3/2014,35.382141,25.51,38.391628,21.693102
2/10/2014,36.231758,25.780001,39.386311,21.541407
2/17/2014,36.021637,26.200001,39.211803,21.769751
2/24/2014,36.06731,26.129999,39.421211,22.082346
3/3/2014,36.103859,26.290001,39.726601,22.010208
3/10/2014,35.080669,26.030001,39.351418,21.889977
3/17/2014,35.610538,25.76,39.56955,21.999525
3/24/2014,37.218407,26.139999,40.433357,22.482328
3/31/2014,37.729992,26.07,41.109367,22.594992
4/7/2014,38.21418,26.27,41.345425,22.747869
4/14/2014,38.37862,26.639999,41.800064,22.723728
4/21/2014,37.291485,26.57,40.794617,22.61838
4/28/2014,38.013199,26.280001,41.345425,22.884951
5/5/2014,38.022335,26.1,41.083138,23.288855
5/12/2014,39.228233,26.27,41.415371,23.313084
5/19/2014,39.410934,26.43,41.563999,23.474812
5/26/2014,38.871944,26.030001,41.572742,23.742409
6/2/2014,39.79464,26.049999,42.13229,23.80727
6/9/2014,39.840309,26.389999,42.106068,23.491034
6/16/2014,39.79464,26.92,42.280918,23.554453
6/23/2014,39.602791,26.74,41.992401,23.749786
6/30/2014,40.661541,26.4,42.778019,23.562588
